Id,CreationDate,PostId,RelatedPostId,LinkTypeId
108,1279694853,395,173,1
145,1279873841,548,539,1
217,1280146335,375,30,1
263,1280217622,769,31,1
264,1280217622,769,6,1
272,1280222367,790,298,1
281,1280244171,715,7,1
338,1280316969,834,577,1
360,1280401282,614,170,1
478,1280635714,222,213,1
479,1280635714,222,146,1
558,1280892067,886,6,1
559,1280892067,886,372,1
583,1280908650,1205,856,1
587,1280932669,1194,6,1
661,1281322186,1289,53,1
668,1281329105,1437,1289,1
681,1281374831,1385,1268,1
716,1281506780,1501,7,1
717,1281506780,1501,973,1
726,1281509978,1207,1142,1
737,1281524227,1536,1052,1
740,1281530356,1521,6,1
754,1281568199,1413,1583,1
776,1281597508,1583,1412,1
781,1281607959,1272,47,1
831,1281670928,672,22,1
836,1281692552,1601,1444,1
837,1281692552,1601,1386,1
855,1281798431,1580,1149,1
875,1281954452,1749,1123,1
880,1281994023,396,257,1
895,1282051696,1780,124,1
901,1282106474,887,841,1
909,1282119544,1813,575,1
914,1282139376,1454,899,1
939,1282385892,1352,1815,1
955,1282457239,1955,1645,1
1006,1282687351,924,920,1
1068,1282808423,2093,1687,1
1069,1282808423,2093,1112,1
1073,1282863414,2149,1709,1
1082,1282876903,2086,1961,1
1083,1282876903,2086,539,1
1095,1282893350,2154,1228,1
1131,1283054691,490,880,1
1134,1283073322,2140,1169,1
1135,1283080736,2067,2024,1
1140,1283147091,354,118,1
1143,1283151721,145,7,1
1153,1283235810,2171,224,1
1154,1283235810,2171,216,1
1156,1283245975,2223,1963,1
1169,1283311891,1676,73,1
1210,1283332529,2282,1676,1
1211,1283332529,2282,2269,1
1224,1283382837,880,490,1
1283,1283744503,2401,2374,1
1307,1283770647,2385,1289,1
8809,1283869244,2410,1292,1
10783,1283899230,2423,414,1
17469,1284086927,26,118,1
18942,1284119439,652,421,1
22399,1284277690,2476,369,1
23659,1284340699,2597,183,1
26940,1284444783,1223,1142,1
28839,1284540808,1799,859,1
28840,1284540808,1799,1324,1
29591,1284560418,1995,1799,1
30954,1284611515,2670,665,1
31174,1284617856,1460,1444,1
32441,1284649566,1016,577,1
33045,1284676834,2742,1812,1
