Id,PostTypeId,CreationDate,Score,ViewCount,OwnerUserId,AnswerCount,CommentCount,FavoriteCount,LastEditorUserId
1,1,1279537932,23,1278,8,5,1,14,0
2,1,1279537977,22,8198,24,7,1,8,88
3,1,1279538008,54,3613,18,19,4,36,183
4,1,1279538011,13,5224,23,5,2,2,0
5,2,1279538083,81,0,23,0,3,0,23
6,1,1279538084,152,29229,5,15,5,137,22047
7,1,1279538159,76,5808,38,24,3,79,253
8,1,1279538181,0,288,37,1,2,0,449
9,2,1279538187,13,0,50,0,3,0,0
10,1,1279538267,23,21925,24,4,4,12,919
11,1,1279538310,2,224,34,1,2,1,34
12,2,1279538321,20,0,5,0,1,0,0
13,2,1279538336,14,0,23,0,4,0,0
14,2,1279538343,5,0,36,0,1,0,0
15,2,1279538386,13,0,6,0,0,0,0
16,2,1279538551,16,0,8,0,3,0,8
17,1,1279538652,9,1261,0,1,0,1,7972
18,2,1279538658,31,0,36,0,1,0,0
19,2,1279538661,12,0,55,0,0,0,0
20,2,1279538675,3,0,37,0,2,0,0
21,1,1279538676,4,184,59,1,1,1,930
22,1,1279538739,102,21916,66,15,1,67,930
23,1,1279538764,10,7694,69,2,1,2,0
24,2,1279538773,17,0,61,0,0,0,0
25,1,1279538833,7,2095,69,7,4,5,69
26,1,1279538863,18,3476,75,8,14,7,22047
27,2,1279538892,4,0,68,0,0,0,0
28,2,1279538892,6,0,0,0,0,0,0
29,2,1279538895,5,0,36,0,0,0,0
30,1,1279538914,7,705,69,8,2,7,919
31,1,1279538924,66,175495,13,10,3,56,919
32,2,1279538946,12,0,5,0,0,0,0
33,1,1279539003,5,1428,69,3,1,5,88
34,2,1279539007,3,0,79,0,0,0,0
35,1,1279539030,10,1223,54,2,0,4,54
36,1,1279539107,41,67396,8,27,7,21,43889
38,2,1279539148,2,0,61,0,2,0,0
39,1,1279539149,4,210,59,1,0,1,190
40,1,1279539167,8,491,69,4,1,2,919
41,2,1279539193,8,0,83,0,0,0,0
42,2,1279539199,12,0,80,0,3,0,0
43,2,1279539217,7,0,74,0,5,0,74
44,1,1279539282,8,453,68,5,1,5,12786
45,2,1279539284,5,0,55,0,1,0,0
46,2,1279539304,0,0,62,0,2,0,62
47,1,1279539372,7,312,22,4,2,3,8
48,2,1279539380,3,0,36,0,4,0,0
49,2,1279539412,6,0,5,0,0,0,0
50,1,1279539451,18,2414,62,7,4,9,919
51,1,1279539475,1,120,68,1,0,1,0
52,2,1279539546,7,0,36,0,0,0,0
53,1,1279539548,40,25962,17,4,4,20,6029
