Id,Reputation,CreationDate,Views,UpVotes,DownVotes
-1,1,1279493726,0,5007,1920
2,101,1279519296,25,3,0
3,101,1279524890,22,19,0
4,101,1279537407,11,0,0
5,6792,1279537437,1145,662,5
6,457,1279537447,114,47,0
7,429,1279537477,56,20,0
8,6764,1279537492,1089,604,25
10,121,1279537540,20,2,0
11,136,1279537562,10,10,0
12,101,1279537594,10,5,0
13,817,1279537609,178,44,1
15,11,1279537652,8,0,0
16,101,1279537693,4,7,0
17,345,1279537708,14,13,1
18,128,1279537709,8,16,0
19,101,1279537725,13,2,0
21,101,1279537736,6,0,0
22,591,1279537740,90,693,6
23,308,1279537756,52,34,1
24,344,1279537772,48,36,1
25,4968,1279537772,641,328,23
26,3150,1279537779,257,138,7
27,101,1279537781,10,2,0
29,2250,1279537782,318,28,1
30,2185,1279537815,312,40,3
33,221,1279537868,11,2,0
34,185,1279537871,27,23,0
35,101,1279537898,4,9,0
36,1570,1279537912,173,26,1
37,156,1279537916,2,0,0
38,133,1279537917,15,1,0
39,1651,1279537919,255,12,0
40,41,1279537920,8,2,0
41,611,1279537921,83,12,0
43,101,1279537940,1,1,1
46,111,1279537989,350,59,15
47,1,1279537989,19,0,0
50,101,1279538089,3,3,0
51,101,1279538091,0,1,0
52,861,1279538105,62,12,0
53,138,1279538117,8,7,0
54,360,1279538149,18,21,2
55,366,1279538169,16,48,1
56,563,1279538214,64,10,0
57,126,1279538294,7,93,0
58,123,1279538351,19,3,0
59,402,1279538366,82,51,0
60,101,1279538372,8,1,1
61,1956,1279538389,147,39,4
62,549,1279538415,90,13,3
64,136,1279538447,11,4,0
65,101,1279538450,8,4,0
66,614,1279538466,102,12,0
67,101,1279538501,4,0,0
68,503,1279538511,42,10,0
69,530,1279538530,174,630,6
71,1936,1279538658,328,2317,1
72,800,1279538666,77,58,0
74,2316,1279538703,1126,74,65
75,321,1279538759,44,4,0
76,101,1279538768,3,9,0
77,260,1279538778,8,36,0
78,123,1279538811,4,4,0
79,212,1279538822,10,5,0
80,211,1279538828,16,7,0
81,1307,1279538838,80,86,0
82,685,1279538855,49,68,0
83,804,1279538907,64,11,0
84,101,1279538998,3,10,0
85,176,1279539096,25,3,0
87,740,1279539285,89,58,2
88,14082,1279539337,3320,4235,126
89,1281,1279539355,105,61,4
90,561,1279539404,287,27,0
91,101,1279539555,8,0,0
92,31,1279539749,5,3,0
93,96,1279539767,3,2,0
94,111,1279539775,15,6,0
96,441,1279539805,80,18,0
98,291,1279539900,24,141,1
99,151,1279539941,42,3,0
101,502,1279540100,49,109,0
102,101,1279540101,5,4,0
103,261,1279540338,34,41,1
104,146,1279540352,26,23,0
105,101,1279540399,0,0,0
107,160,1279540591,14,20,3
108,305,1279540938,171,4,0
110,443,1279541358,59,9,1
111,101,1279541459,2,1,0
112,101,1279541476,0,0,0
113,101,1279541508,0,0,0
114,708,1279541674,61,44,1
115,101,1279541783,8,0,0
116,101,1279541787,2,9,0
117,123,1279541825,4,1,0
118,473,1279541832,60,46,0
119,139,1279542015,12,0,0
120,101,1279542095,3,1,0
121,101,1279542227,4,3,0
122,101,1279543130,8,0,0
123,101,1279543282,56,21,0
124,121,1279543638,8,8,0
125,391,1279543745,31,0,0
126,101,1279543748,1,0,0
127,236,1279543920,46,29,1
128,166,1279544207,19,22,0
129,101,1279544646,8,9,0
130,241,1279544690,24,2,0
131,216,1279544837,14,6,0
132,33,1279545157,8,2,0
133,116,1279545437,6,2,1
134,101,1279545648,0,1,1
135,101,1279545771,1,2,0
138,231,1279546143,24,20,0
139,758,1279546169,241,41,0
140,1,1279546430,4,4,0
141,101,1279546487,0,0,0
142,185,1279546597,19,10,0
143,101,1279546905,1,0,0
144,1396,1279547006,269,477,1
145,99,1279547492,8,4,0
147,101,1279547738,1,0,0
148,228,1279547751,11,12,0
151,101,1279549329,9,0,0
152,101,1279549514,1,0,0
153,101,1279550002,3,0,0
154,321,1279550297,23,6,0
155,101,1279550660,1,2,0
156,101,1279550752,0,0,0
158,111,1279551829,2,15,0
159,18283,1279551939,3781,1014,59
160,101,1279552357,2,0,0
161,101,1279552663,1,8,0
162,101,1279553074,2,1,0
163,276,1279553107,12,1,0
164,101,1279554213,3,2,0
165,36,1279554356,2,1,0
166,118,1279556191,3,7,0
167,101,1279556355,21,0,0
168,147,1279556818,61,8,1
169,113,1279556853,19,5,0
170,208,1279557257,52,48,1
171,171,1279557339,9,0,0
172,564,1279557934,113,15,0
173,453,1279558222,39,15,0
174,792,1279559347,78,163,4
175,236,1279559690,46,53,0
176,101,1279559764,0,0,0
177,101,1279560449,0,0,0
178,11,1279561195,2,8,0
179,1416,1279561667,147,352,10
180,101,1279563102,0,0,0
181,101,1279565281,6,60,0
183,22625,1279565794,4069,2496,45
184,101,1279566554,3,3,0
186,101,1279568453,1,1,0
187,446,1279568831,69,6,0
188,211,1279568957,19,2,0
189,205,1279571222,17,0,0
190,1166,1279572054,146,482,24
191,313,1279573025,16,8,0
193,101,1279574578,0,1,0
194,38,1279575027,7,4,0
195,101,1279575577,7,0,0
196,6140,1279576642,649,497,114
197,138,1279576686,5,21,1
198,908,1279578402,42,69,0
199,1815,1279578678,188,149,3
200,128,1279580192,24,9,0
202,101,1279580682,3,0,0
203,101,1279580891,1,1,0
204,101,1279581345,0,4,0
206,101,1279584339,0,2,0
207,101,1279584569,4,0,0
210,337,1279585640,47,32,1
211,586,1279586209,11,0,0
212,101,1279586542,1,11,1
213,63,1279586819,9,1,0
214,266,1279588700,31,29,0
215,2496,1279588873,384,5,0
216,31,1279588969,4,0,0
217,522,1279589489,111,16,1
218,121,1279590231,9,12,0
219,184,1279592241,119,2,0
220,248,1279594858,34,11,0
221,615,1279595948,77,95,0
222,101,1279600290,3,3,0
223,4022,1279601574,1471,345,19
225,101,1279602553,6,0,0
226,1293,1279603496,266,55,0
227,226,1279604424,4,71,0
228,121,1279604547,4,9,0
229,629,1279605706,64,65,0
230,1233,1279605711,106,170,2
232,101,1279606505,0,4,0
233,101,1279608051,3,4,0
235,101,1279608540,5,0,0
236,221,1279608917,9,8,0
239,101,1279611736,66,3,0
240,281,1279612377,31,8,0
241,101,1279613304,0,0,0
246,101,1279621365,9,0,1
247,898,1279623926,104,82,3
248,101,1279624258,0,1,0
250,131,1279646195,6,9,0
251,7931,1279654128,984,819,0
252,315,1279657271,40,8,0
253,5309,1279670030,1147,1160,5
254,101,1279679149,0,3,0
255,195,1279679594,11,32,0
256,171,1279685353,6,2,0
257,121,1279687802,2,2,0
258,101,1279694332,1,9,0
259,138,1279713073,6,3,0
260,526,1279714880,24,2,0
261,442,1279719504,84,30,2
263,101,1279744686,4,0,0
264,4701,1279749396,839,1408,55
266,1272,1279764075,335,108,1
267,91,1279767114,17,4,0
268,101,1279768462,4,1,0
270,229,1279781730,25,4,0
273,1384,1279821283,87,17,0
275,101,1279964659,0,0,0
276,201,1279974674,17,10,0
277,131,1280043996,22,1,0
278,101,1280132059,7,0,0
279,6176,1280134929,374,578,8
280,101,1280137810,1,27,0
281,101,1280142537,1,0,0
282,101,1280142572,7,2,0
283,118,1280142665,5,23,0
284,190,1280142685,10,191,0
285,223,1280142764,6,3,0
287,847,1280142995,73,19,0
288,86,1280143062,3,9,0
290,129,1280143146,127,8,4
291,251,1280143176,17,51,0
292,138,1280143182,13,15,4
293,101,1280143218,0,0,0
297,103,1280143487,2,17,0
298,111,1280143555,6,2,0
300,524,1280143643,44,223,0
301,155,1280143717,6,6,1
302,246,1280143771,36,17,1
303,238,1280143819,140,1,1
305,118,1280144003,24,4,0
307,4829,1280144138,1088,692,3
308,101,1280144260,3,0,0
310,101,1280144589,0,0,0
311,101,1280144680,1,0,0
314,101,1280144768,1,0,0
315,611,1280144771,49,2,0
316,101,1280144804,0,0,0
317,81,1280145187,24,0,0
319,1994,1280145603,523,62,0
320,101,1280145712,0,3,0
322,101,1280145857,0,0,0
325,101,1280146281,1,0,0
326,101,1280146342,5,5,0
327,303,1280146475,36,0,0
329,101,1280146820,1,0,0
330,101,1280146823,1,0,0
333,1233,1280147390,104,75,4
334,5134,1280147399,842,58,9
335,101,1280147409,0,4,0
338,126,1280148512,2,0,0
339,3039,1280149081,363,125,0
340,101,1280149182,4,0,0
344,101,1280149957,0,0,0
346,101,1280150269,0,4,0
347,101,1280150385,0,0,0
350,101,1280151061,1,2,0
351,101,1280151407,8,1,0
352,793,1280151971,99,236,2
353,101,1280152043,6,2,0
354,101,1280152057,1,3,0
357,101,1280153084,0,3,0
358,51,1280153328,4,12,0
360,101,1280154320,1,0,0
362,101,1280154829,0,0,1
364,5442,1280155084,671,115,2
365,101,1280155505,1,2,0
366,21,1280156279,14,0,0
367,111,1280159296,0,0,0
368,369,1280160591,18,5,0
369,29,1280161262,1,0,0
371,101,1280161622,1,0,0
373,101,1280162713,1,13,0
374,101,1280165004,1,0,0
375,529,1280165560,46,9,0
377,101,1280166112,2,0,0
378,316,1280166145,6,2,0
380,101,1280166373,2,4,0
381,101,1280166569,0,1,0
382,101,1280166745,0,0,0
383,101,1280167079,1,3,0
384,101,1280167230,0,0,0
385,101,1280167418,0,0,0
386,891,1280167686,185,55,0
389,101,1280168884,0,7,0
390,101,1280169179,0,0,0
391,101,1280169433,2,1,0
392,101,1280169918,2,1,0
393,101,1280169977,1,0,0
394,33,1280170137,5,0,0
395,101,1280170566,0,7,0
396,101,1280170925,2,0,0
397,101,1280171134,7,2,0
398,101,1280171323,4,1,0
399,101,1280171991,0,0,0
400,213,1280172301,14,0,0
401,6906,1280172903,1070,394,6
402,61,1280174121,2,0,0
406,101,1280176449,2,0,0
407,101,1280177482,2,0,0
408,101,1280180279,1,0,0
410,123,1280184556,5,21,0
411,101,1280185172,1,2,0
412,101,1280185374,1,8,0
413,101,1280185799,0,26,0
414,106,1280185884,4,1,0
417,101,1280186887,1,1,0
419,379,1280188102,25,7,0
420,101,1280188287,4,244,0
422,111,1280189144,1,7,0
424,101,1280189719,1,0,0
426,101,1280190471,1,0,0
427,38,1280190796,10,17,0
428,126,1280190957,1,0,0
431,71,1280191377,28,1,0
432,101,1280192017,1,0,0
